"simulacion","acciones.CRC","compra.directa","call.europea"
1972,97286.7683947342,29186030.5184203,17730517.5214963
1973,67837.2224688007,20351166.7406402,8895653.74371623
1974,157338.402787286,47201520.8361857,35746007.8392617
1975,76500.3280901559,22950098.4270468,11494585.4301228
1976,41945.6663722887,12583699.9116866,1128186.91476263
1977,76500.3280901558,22950098.4270467,11494585.4301228
1978,14220.9935395691,4266298.06187072,0
1979,76500.3280901558,22950098.4270467,11494585.4301228
1980,18085.0793632753,5425523.80898259,0
1981,8793.24106713803,2637972.32014141,0
1982,123721.238078044,37116371.4234132,25660858.4264893
1983,109710.707929575,32913212.3788724,21457699.3819484
1984,86269.7496288713,25880924.8886614,14425411.8917374
1985,22999.1030279223,6899730.90837669,0
1986,67837.2224688007,20351166.7406402,8895653.74371623
1987,16037.0756931472,4811122.70794415,0
1988,109710.707929575,32913212.3788724,21457699.3819484
1989,177431.194797873,53229358.439362,41773845.442438
1990,20394.6219269718,6118386.57809154,0
1991,32983.4908938551,9895047.26815652,0
1992,32983.490893855,9895047.26815651,0
1993,37195.6248075908,11158687.4422772,0
1994,364923.151195341,109476945.358602,98021432.3616784
1995,76500.3280901558,22950098.4270467,11494585.4301228
1996,200089.922928498,60026976.8785493,48571463.8816253
1997,41945.6663722887,12583699.9116866,1128186.91476264
1998,97286.7683947341,29186030.5184202,17730517.5214963
1999,25936.1875882307,7780856.2764692,0
2000,177431.194797873,53229358.439362,41773845.442438
2001,123721.238078044,37116371.4234132,25660858.4264892
2002,76500.3280901558,22950098.4270467,11494585.4301228
2003,123721.238078044,37116371.4234132,25660858.4264893
2004,41945.6663722887,12583699.9116866,1128186.91476263
2005,41945.6663722887,12583699.9116866,1128186.91476263
2006,139520.973298157,41856291.989447,30400778.992523
2007,97286.7683947341,29186030.5184202,17730517.5214963
2008,29248.3505028527,8774505.15085582,0
2009,53343.0173621537,16002905.2086461,4547392.21172215
2010,67837.2224688006,20351166.7406402,8895653.74371622
2011,200089.922928498,60026976.8785493,48571463.8816253
2012,139520.973298157,41856291.989447,30400778.9925231
2013,25936.1875882307,7780856.2764692,0
2014,86269.7496288714,25880924.8886614,14425411.8917375
2015,47302.3087128324,14190692.6138497,2735179.61692576
2016,60155.1505355403,18046545.1606621,6591032.16373813
2017,12610.5694780055,3783170.84340164,0
2018,200089.922928497,60026976.8785492,48571463.8816253
2019,32983.4908938551,9895047.26815652,0
2020,16037.0756931472,4811122.70794416,0
2021,97286.7683947341,29186030.5184202,17730517.5214963
2022,22999.1030279223,6899730.90837669,0
2023,16037.0756931472,4811122.70794415,0
2024,200089.922928498,60026976.8785493,48571463.8816253
2025,97286.7683947342,29186030.5184203,17730517.5214963
2026,37195.6248075908,11158687.4422772,0
2027,86269.7496288715,25880924.8886614,14425411.8917375
2028,37195.6248075908,11158687.4422772,0
2029,47302.3087128324,14190692.6138497,2735179.61692575
2030,32983.4908938551,9895047.26815652,0
2031,109710.707929575,32913212.3788724,21457699.3819484
2032,16037.0756931472,4811122.70794415,0
2033,20394.6219269718,6118386.57809155,0
2034,109710.707929575,32913212.3788724,21457699.3819484
2035,14220.9935395691,4266298.06187072,0
2036,29248.3505028527,8774505.15085581,0
2037,123721.238078044,37116371.4234132,25660858.4264892
2038,11182.5142256848,3354754.26770545,0
2039,60155.1505355402,18046545.1606621,6591032.1637381
2040,60155.1505355403,18046545.1606621,6591032.16373813
2041,60155.1505355403,18046545.1606621,6591032.16373811
2042,20394.6219269718,6118386.57809154,0
2043,32983.4908938551,9895047.26815652,0
2044,29248.3505028527,8774505.15085581,0
2045,76500.3280901558,22950098.4270467,11494585.4301228
2046,109710.707929575,32913212.3788724,21457699.3819484
2047,25936.1875882307,7780856.2764692,0
2048,53343.0173621538,16002905.2086461,4547392.21172216
2049,97286.7683947342,29186030.5184203,17730517.5214963
2050,97286.7683947342,29186030.5184203,17730517.5214963
2051,86269.7496288714,25880924.8886614,14425411.8917374
2052,20394.6219269718,6118386.57809155,0
2053,97286.7683947341,29186030.5184202,17730517.5214963
2054,47302.3087128325,14190692.6138497,2735179.61692577
2055,123721.238078044,37116371.4234132,25660858.4264893
2056,25936.1875882307,7780856.27646921,0
2057,47302.3087128325,14190692.6138497,2735179.61692577
2058,97286.7683947342,29186030.5184203,17730517.5214963
2059,109710.707929575,32913212.3788724,21457699.3819485
2060,464078.978202267,139223693.46068,127768180.463756
2061,47302.3087128324,14190692.6138497,2735179.61692576
2062,157338.402787286,47201520.8361857,35746007.8392617
2063,32983.4908938551,9895047.26815652,0
2064,16037.0756931472,4811122.70794415,0
2065,18085.0793632753,5425523.80898259,0
2066,123721.238078044,37116371.4234132,25660858.4264892
2067,109710.707929575,32913212.3788724,21457699.3819484
2068,22999.1030279222,6899730.90837667,0
2069,29248.3505028527,8774505.15085581,0
2070,14220.9935395691,4266298.06187072,0
2071,123721.238078044,37116371.4234132,25660858.4264892
2072,29248.3505028527,8774505.15085581,0
2073,47302.3087128325,14190692.6138497,2735179.61692577
2074,67837.2224688006,20351166.7406402,8895653.74371621
2075,86269.7496288714,25880924.8886614,14425411.8917374
2076,97286.7683947341,29186030.5184202,17730517.5214963
2077,18085.0793632753,5425523.80898259,0
2078,47302.3087128325,14190692.6138497,2735179.61692577
2079,67837.2224688006,20351166.7406402,8895653.7437162
2080,67837.2224688007,20351166.7406402,8895653.74371624
2081,20394.6219269718,6118386.57809155,0
2082,29248.3505028527,8774505.15085582,0
2083,109710.707929575,32913212.3788724,21457699.3819484
2084,60155.1505355403,18046545.1606621,6591032.16373813
2085,47302.3087128325,14190692.6138497,2735179.61692577
2086,20394.6219269718,6118386.57809154,0
2087,32983.4908938551,9895047.26815653,0
2088,37195.6248075908,11158687.4422773,0
2089,41945.6663722887,12583699.9116866,1128186.91476263
2090,109710.707929575,32913212.3788724,21457699.3819484
2091,29248.3505028527,8774505.15085581,0
2092,32983.490893855,9895047.2681565,0
2093,37195.6248075908,11158687.4422773,0
2094,109710.707929575,32913212.3788724,21457699.3819484
2095,123721.238078044,37116371.4234132,25660858.4264892
2096,29248.3505028527,8774505.15085581,0
2097,6914.46368001983,2074339.10400595,0
2098,139520.973298157,41856291.989447,30400778.9925231
2099,109710.707929575,32913212.3788724,21457699.3819484
2100,60155.1505355403,18046545.1606621,6591032.16373813
2101,76500.3280901558,22950098.4270467,11494585.4301228
2102,29248.3505028527,8774505.15085581,0
2103,14220.993539569,4266298.06187071,0
2104,22999.1030279223,6899730.90837669,0
2105,123721.238078044,37116371.4234132,25660858.4264892
2106,76500.3280901558,22950098.4270467,11494585.4301228
2107,29248.3505028527,8774505.1508558,0
2108,53343.0173621537,16002905.2086461,4547392.21172216
2109,41945.6663722887,12583699.9116866,1128186.91476263
2110,200089.922928498,60026976.8785493,48571463.8816254
2111,32983.4908938551,9895047.26815652,0
2112,200089.922928498,60026976.8785493,48571463.8816253
2113,60155.1505355404,18046545.1606621,6591032.16373814
2114,97286.7683947342,29186030.5184203,17730517.5214963
2115,364923.151195341,109476945.358602,98021432.3616785
2116,97286.7683947342,29186030.5184203,17730517.5214963
2117,157338.402787286,47201520.8361857,35746007.8392617
2118,47302.3087128325,14190692.6138497,2735179.61692577
2119,37195.6248075908,11158687.4422772,0
2120,97286.7683947342,29186030.5184203,17730517.5214963
2121,76500.3280901558,22950098.4270467,11494585.4301228
2122,67837.2224688007,20351166.7406402,8895653.74371623
2123,157338.402787286,47201520.8361857,35746007.8392617
2124,18085.0793632753,5425523.80898259,0
2125,32983.490893855,9895047.26815651,0
2126,6914.46368001984,2074339.10400595,0
2127,60155.1505355403,18046545.1606621,6591032.16373811
2128,41945.6663722887,12583699.9116866,1128186.91476264
2129,157338.402787286,47201520.8361857,35746007.8392617
2130,29248.3505028527,8774505.15085581,0
2131,32983.4908938551,9895047.26815652,0
2132,323598.25911439,97079477.7343171,85623964.7373932
2133,97286.7683947341,29186030.5184202,17730517.5214963
2134,29248.3505028527,8774505.15085581,0
